FedEx Express U.S. Package Standard List Rates: FedEx First Overnight®										
"Effective 2/28/2011"										

Weight	Zone 2	Zone 3	Zone 4	Zone 5	Zone 6	Zone 7	Zone 8	Zone 9-10	Zone 11-12	Zone 13-16
89	$174.40 	$242.55 	$370.05 	$391.65 	$436.00 	$444.15 	$465.35 	$475.30 	$484.05 	$356.70 
90	$174.45 	$242.60 	$375.50 	$400.20 	$436.05 	$448.80 	$465.40 	$475.35 	$489.95 	$369.40 
91	$183.05 	$251.95 	$383.80 	$400.25 	$445.05 	$452.70 	$470.30 	$486.80 	$498.60 	$369.50 
92	$183.15 	$252.00 	$387.80 	$405.30 	$445.15 	$467.35 	$483.30 	$491.90 	$502.80 	$381.60 
93	$183.20 	$252.75 	$389.00 	$415.65 	$445.20 	$472.20 	$483.35 	$496.90 	$502.85 	$381.65 
94	$183.25 	$255.05 	$395.60 	$415.70 	$445.25 	$472.25 	$483.40 	$501.70 	$514.85 	$395.60 
95	$183.30 	$255.10 	$396.70 	$418.35 	$445.30 	$475.65 	$488.50 	$501.75 	$514.90 	$395.65 
96	$192.55 	$264.15 	$400.70 	$422.60 	$448.55 	$475.70 	$494.75 	$501.80 	$514.95 	$395.75 
97	$194.00 	$264.45 	$407.45 	$427.35 	$468.40 	$491.60 	$509.85 	$512.50 	$515.00 	$395.85 
98	$194.10 	$267.05 	$411.45 	$427.40 	$468.45 	$491.65 	$509.90 	$512.95 	$534.90 	$396.35 
99	$197.60 	$267.25 	$411.50 	$435.80 	$468.50 	$491.70 	$509.95 	$513.00 	$544.95 	$400.15 
100	$199.00 	$272.00 	$417.00 	$447.00 	$485.00 	$504.00 	$522.00 	$530.00 	$545.00 	$415.00 
101	$200.99 	$274.72 	$421.17 	$451.47 	$489.85 	$509.04 	$527.22 	$535.30 	$550.45 	$419.15 
102	$202.98 	$277.44 	$425.34 	$455.94 	$494.70 	$514.08 	$532.44 	$540.60 	$555.90 	$423.30 
103	$204.97 	$280.16 	$429.51 	$460.41 	$499.55 	$519.12 	$537.66 	$545.90 	$561.35 	$427.45 
